mes_sol;año_sol;desc_cnae;empresa_municipio;localidades_centro_trab;desc_sector;total_trab_sus;trab_hombres_sus;trab_mujeres_sus
1;2025;Actividades de las empresas de trabajo temporal;Barcelona;Riba-Roja De Túria;SERVICIOS;1;1;0
1;2025;Actividades de las empresas de trabajo temporal;Barcelona;Riba-Roja De Túria;SERVICIOS;1;1;0
10;2024;Fabricación de colchones;Beniparrell;Beniparrell;INDUSTRIA;30;27;3
10;2024;Otras actividades sanitarias;Albal;Albal;SERVICIOS;1;0;1
10;2024;Otras actividades sanitarias;Massanassa;Massanassa;SERVICIOS;6;1;5
10;2024;Restaurantes y puestos de comidas;Aldaya;Aldaya;SERVICIOS;11;7;4
10;2024;Comercio al por menor de combustible para la automoción en establecimientos especializados;Massanassa;Massanassa;SERVICIOS;3;2;1
10;2024;Actividades de servicios sociales sin alojamiento para personas con discapacidad;Valencia;Valencia;SERVICIOS;20;17;3
10;2024;Fabricación de otros productos de plástico;Beniparrell;Beniparrell;INDUSTRIA;65;44;21
10;2024;Actividades de fotografía;Sedaví;Sedaví;SERVICIOS;37;17;20
10;2024;Actividades de medicina especializada;Chiva;Chiva;SERVICIOS;7;0;7
10;2024;Otro comercio al por menor de artículos nuevos en establecimientos especializados;Alfafar;Alfafar;SERVICIOS;5;1;4
10;2024;Limpieza general de edificios;Valencia;Valencia;SERVICIOS;6;0;6
10;2024;Otro comercio al por menor de artículos nuevos en establecimientos especializados;Cuart de Poblet;Quart De Poblet;SERVICIOS;7;3;4
11;2024;Fabricación de chapas y tableros de madera;Massanassa;Massanassa;INDUSTRIA;11;8;3
11;2024;Actividades de mantenimiento físico;Massanassa;Massanassa;SERVICIOS;3;2;1
11;2024;Hoteles y alojamientos similares;Paiporta;Paiporta;SERVICIOS;3;1;2
11;2024;Actividades de mantenimiento físico;Massanassa;Massanassa;SERVICIOS;3;2;1
11;2024;Comercio al por menor de ferretería, pintura y vidrio en establecimientos especializados;Alfafar;Alfafar;SERVICIOS;3;1;2
11;2024;Restaurantes y puestos de comidas;Valencia;"Aldaya; Valencia";SERVICIOS;20;9;11
11;2024;Transporte de mercancías por carretera;Albal;Albal;SERVICIOS;2;2;0
11;2024;Fabricación de carpintería metálica;Torrent;Torrent;INDUSTRIA;14;12;2
11;2024;Reparación y mantenimiento de otro material de transporte;Paiporta;Paiporta;INDUSTRIA;1;1;0
11;2024;Comercio al por menor de muebles, aparatos de iluminación y otros artículos de uso doméstico en establecimientos especializados;Massanassa;Massanassa;SERVICIOS;2;0;2
11;2024;Restaurantes y puestos de comidas;Algemesí;Algemesí;SERVICIOS;4;1;3
11;2024;Peluquería y otros tratamientos de belleza;Benetússer;Benetússer;SERVICIOS;2;0;2
11;2024;Comercio al por mayor de madera, materiales de construcción y aparatos sanitarios;Beniparrell;Beniparrell;SERVICIOS;13;13;0
11;2024;Comercio al por mayor de equipos electrónicos y de telecomunicaciones y sus componentes;Beniparrell;Beniparrell;SERVICIOS;5;5;0
11;2024;Transporte de mercancías por carretera;Onteniente;"Onteniente; Picanya";SERVICIOS;13;13;0
11;2024;Fabricación de relojes;Torrent;Torrent;INDUSTRIA;20;20;0
11;2024;Comercio al por mayor de flores y plantas;Torrent;"Alaquàs; Picassent; Torrent; Chirivella";SERVICIOS;0;0;0
11;2024;Peluquería y otros tratamientos de belleza;Sedaví;Sedaví;SERVICIOS;1;0;1
11;2024;Promoción inmobiliaria;Paiporta;Paiporta;CONSTRUCIÓN;5;3;2
11;2024;Comercio al por menor de calzado y artículos de cuero en establecimientos especializados;Capellades;"Aldaya; Valencia";SERVICIOS;4;0;4
11;2024;Fabricación de carpintería metálica;Ribarroja del Turia;Riba-Roja De Túria;INDUSTRIA;46;37;9
11;2024;Restaurantes y puestos de comidas;Aldaya;Aldaya;SERVICIOS;15;5;10
11;2024;Comercio al por menor de ferretería, pintura y vidrio en establecimientos especializados;Ribarroja del Turia;Riba-Roja De Túria;SERVICIOS;4;4;0
11;2024;Comercio al por menor de prendas de vestir en establecimientos especializados;Málaga;Aldaya;SERVICIOS;5;0;5
11;2024;Actividades odontológicas;Llombai;Llombai;SERVICIOS;2;1;1
11;2024;Peluquería y otros tratamientos de belleza;Catarroja;Catarroja;SERVICIOS;3;0;3
11;2024;Comercio al por menor de prendas de vestir en establecimientos especializados;Málaga;Aldaya;SERVICIOS;6;0;6
11;2024;Otras actividades de apoyo a las empresas n.c.o.p.;Benifaió;"Carlet; Puig De Santa Maria (El); Rafelbunyol";SERVICIOS;81;56;25
11;2024;Comercio al por mayor de otra maquinaria y equipo;Albal;Albal;SERVICIOS;18;13;5
11;2024;Comercio al por menor de flores, plantas, semillas, fertilizantes, animales de compañía y comida en establecim. especializados;Picanya;Picanya;SERVICIOS;1;0;1
11;2024;Otra educación n.c.o.p.;Sedaví;Sedaví;SERVICIOS;8;0;8
11;2024;Revestimiento de suelos y paredes;Aldaya;Aldaya;CONSTRUCIÓN;1;1;0
11;2024;Actividades de juegos de azar y apuestas;Aldaya;Aldaya;SERVICIOS;1;0;1
11;2024;Intermediarios del comercio de muebles, artículos para el hogar y ferretería;Benetússer;Benetússer;SERVICIOS;2;1;1
11;2024;Restaurantes y puestos de comidas;Aldaya;Aldaya;SERVICIOS;3;2;1
11;2024;Comercio al por menor de artículos de relojería y joyería en establecimientos especializados;Valencia;"Sagunto; Valencia";SERVICIOS;6;0;6
11;2024;Otras actividades recreativas y de entretenimiento;Massanassa;Massanassa;SERVICIOS;23;12;11
11;2024;Venta de automóviles y vehículos de motor ligeros;Alzira;"Alzira; Torrent; Valencia";SERVICIOS;28;26;2
11;2024;Actividades de contabilidad, teneduría de libros, auditoría y asesoría fiscal;Valencia;Valencia;SERVICIOS;2;2;0
11;2024;Alojamientos turísticos y otros alojamientos de corta estancia;Sedaví;Sedaví;SERVICIOS;2;0;2
11;2024;Limpieza general de edificios;Alfafar;"Alfafar; Paterna";SERVICIOS;7;2;5
11;2024;Otro comercio al por menor de artículos nuevos en establecimientos especializados;Alfafar;Alfafar;SERVICIOS;7;2;5
11;2024;Artes escénicas;Valencia;Alfafar;SERVICIOS;1;1;0
11;2024;Construcción de edificios residenciales;Massanassa;Massanassa;CONSTRUCIÓN;10;9;1
11;2024;Restaurantes y puestos de comidas;Alaquàs;Alaquàs;SERVICIOS;1;0;1
11;2024;Restaurantes y puestos de comidas;Benetússer;Benetússer;SERVICIOS;1;0;1
11;2024;Otras actividades deportivas;Algemesí;Algemesí;SERVICIOS;3;3;0
11;2024;Comercio al por menor de artículos médicos y ortopédicos en establecimientos especializados;Catarroja;"Catarroja; Colindres";SERVICIOS;2;0;2
11;2024;Reparación y mantenimiento de otro material de transporte;Catarroja;Catarroja;INDUSTRIA;1;1;0
11;2024;Comercio al por menor de pan y productos de panadería, confitería y pastelería en establecimientos especializados;Sedaví;Sedaví;SERVICIOS;9;2;7
11;2024;Servicios integrales a edificios e instalaciones;Valencia;Alfafar;SERVICIOS;18;15;3
11;2024;Establecimientos de bebidas;Algemesí;Algemesí;SERVICIOS;6;3;3
11;2024;Restaurantes y puestos de comidas;Algemesí;Algemesí;SERVICIOS;2;0;2
11;2024;Transporte de mercancías por carretera;Bétera;Valencia;SERVICIOS;1;1;0
11;2024;Comercio al por menor de artículos deportivos en establecimientos especializados;Algemesí;Algemesí;SERVICIOS;2;2;0
11;2024;Fabricación de artículos confeccionados con textiles, excepto prendas de vestir;Beniparrell;Beniparrell;INDUSTRIA;1;1;0
11;2024;Intermediarios del comercio de productos diversos;Catarroja;Catarroja;SERVICIOS;2;2;0
11;2024;Comercio al por menor de calzado y artículos de cuero en establecimientos especializados;Aldaya;Aldaya;SERVICIOS;4;0;4
11;2024;Comercio al por mayor, no especializado, de productos alimenticios, bebidas y tabaco;Massanassa;Massanassa;SERVICIOS;2;0;2
11;2024;Actividades de contabilidad, teneduría de libros, auditoría y asesoría fiscal;Sedaví;Sedaví;SERVICIOS;4;0;4
11;2024;Otras actividades recreativas y de entretenimiento;Alaquàs;Alaquàs;SERVICIOS;2;1;1
11;2024;Actividades auxiliares a la educación;Sedaví;Sedaví;SERVICIOS;1;0;1
11;2024;Establecimientos de bebidas;Aldaya;Aldaya;SERVICIOS;2;0;2
11;2024;Actividades de fotografía;Torrent;Torrent;SERVICIOS;5;2;3
11;2024;Restaurantes y puestos de comidas;Catarroja;Catarroja;SERVICIOS;4;1;3
11;2024;Gestión de instalaciones deportivas;Paiporta;Paiporta;SERVICIOS;2;1;1
11;2024;Comercio al por menor de artículos médicos y ortopédicos en establecimientos especializados;Alfafar;Alfafar;SERVICIOS;2;0;2
11;2024;Peluquería y otros tratamientos de belleza;Benetússer;Alfafar;SERVICIOS;3;0;3
11;2024;Peluquería y otros tratamientos de belleza;Algemesí;Algemesí;SERVICIOS;3;0;3
11;2024;Otras actividades de limpieza;Paiporta;Paiporta;SERVICIOS;2;0;2
11;2024;Confección de otras prendas de vestir y accesorios;Benetússer;Benetússer;INDUSTRIA;2;0;2
11;2024;Comercio al por menor de productos de tabaco en establecimientos especializados;Sedaví;Sedaví;SERVICIOS;4;1;3
11;2024;Comercio al por mayor de cereales, tabaco en rama, simientes y alimentos para animales;Alfafar;Benetússer;SERVICIOS;3;3;0
11;2024;Fabricación de otros muebles;Beniparrell;Beniparrell;INDUSTRIA;11;5;6
11;2024;Establecimientos de bebidas;Catarroja;Catarroja;SERVICIOS;0;0;0
11;2024;Establecimientos de bebidas;Valencia;Valencia;SERVICIOS;1;0;1
11;2024;Transporte por taxi;Burjasot;Valencia;SERVICIOS;1;1;0
11;2024;Agentes de la propiedad inmobiliaria;Albal;Albal;SERVICIOS;1;0;1
11;2024;Establecimientos de bebidas;Paiporta;Paiporta;SERVICIOS;4;2;2
11;2024;Comercio al por menor de ferretería, pintura y vidrio en establecimientos especializados;Picanya;Picanya;SERVICIOS;1;0;1
11;2024;Restaurantes y puestos de comidas;Sedaví;Sedaví;SERVICIOS;5;1;4
11;2024;Comercio al por menor de equipos de telecomunicaciones en establecimientos especializados;Valencia;Albal;SERVICIOS;1;0;1
11;2024;Ensayos y análisis técnicos;Benetússer;Benetússer;SERVICIOS;1;1;0
11;2024;Establecimientos de bebidas;Benifaió;Alfarp;SERVICIOS;8;0;8
11;2024;Comercio al por menor de bebidas en establecimientos especializados;Sedaví;Sedaví;SERVICIOS;27;4;23
11;2024;Instalaciones eléctricas;Valencia;Valencia;CONSTRUCIÓN;4;4;0
11;2024;Establecimientos de bebidas;Alfafar;Alfafar;SERVICIOS;3;0;3
11;2024;Establecimientos de bebidas;Picanya;Picanya;SERVICIOS;2;1;1
11;2024;Transporte de mercancías por carretera;Beniparrell;Beniparrell;SERVICIOS;7;6;1
11;2024;Actividades de servicios sociales sin alojamiento para personas con discapacidad;Valencia;Valencia;SERVICIOS;2;1;1
11;2024;Comercio al por menor en establecimientos no especializados, con predominio en productos alimenticios, bebidas y tabaco;Paiporta;Paiporta;SERVICIOS;1;0;1
11;2024;Comercio al por menor de flores, plantas, semillas, fertilizantes, animales de compañía y comida en establecim. especializados;Alginet;Alginet;SERVICIOS;2;0;2
11;2024;Otras actividades sanitarias;Benetússer;Benetússer;SERVICIOS;1;0;1
11;2024;Otro comercio al por menor en establecimientos no especializados;Aldaya;Aldaya;SERVICIOS;6;0;6
11;2024;Actividades de los clubes deportivos;Paiporta;Paiporta;SERVICIOS;1;1;0
11;2024;Comercio al por mayor de madera, materiales de construcción y aparatos sanitarios;Beniparrell;Beniparrell;SERVICIOS;4;3;1
11;2024;Otras actividades recreativas y de entretenimiento;Ribarroja del Turia;Riba-Roja De Túria;SERVICIOS;1;0;1
11;2024;Establecimientos de bebidas;Torrent;Torrent;SERVICIOS;5;0;5
